;Player;Nation;Pos;Squad;Age;Born;90s;GA;PKA;FK;CK;OG;PSxG;PSxG/SoT;PSxG+/-;/90;long_passes_completed;long_passes_attempted;long_passes_success%;passes_attempted;throws_attempted;long_passes%;pass_AvgLen;goal_kicks_attempted;goal_kicks_long%;goal_kick_AvgLen;crosses_faced;crosses_stopped;crosses_stopped%;#defensive_actions_OPA;#defensive_actions_OPA/90;da_OPA_AvgDist
1;Alisson;BRA;GK;Liverpool;30-082;1992;14.0;17;2;0;0;0;24.6;0.35;+7.6;+0.54;46;107;43.0;441;89;20.0;27.3;73;26.0;31.3;151;5;3.3;25;1.79;19.3
2;Alphonse Areola;FRA;GK;West Ham;29-299;1993;1.2;2;1;0;0;0;1.7;0.34;-0.3;-0.27;9;20;45.0;31;3;45.2;35.0;10;60.0;42.5;15;0;0.0;1;0.84;14.3
3;Kepa Arrizabalaga;ESP;GK;Chelsea;28-081;1994;5.5;5;0;0;0;2;7.7;0.31;+4.7;+0.85;18;58;31.0;153;20;24.2;29.1;47;44.7;33.5;71;2;2.8;17;3.09;20.2
4;Gavin Bazunu;IRL;GK;Southampton;20-306;2002;15.0;27;0;1;3;1;18.8;0.30;-7.2;-0.48;121;324;37.3;476;70;52.9;39.6;108;66.7;50.4;220;20;9.1;25;1.67;14.8
5;Asmir Begovic;BIH;GK;Everton;35-186;1987;1.0;0;0;0;0;0;0.5;0.12;+0.5;+0.49;4;13;30.8;22;5;36.4;34.9;8;62.5;46.8;23;1;4.3;0;0.00;5.0
6;Ederson;BRA;GK;Manchester City;29-128;1993;14.0;14;2;1;1;1;11.8;0.26;-1.2;-0.09;34;88;38.6;461;63;16.3;26.8;63;20.6;29.4;107;11;10.3;21;1.50;17.2
7;Lukasz Fabianski;POL;GK;West Ham;37-249;1985;13.8;15;1;0;0;1;16.1;0.24;+2.1;+0.15;81;191;42.4;317;87;46.1;37.2;89;50.6;39.4;185;13;7.0;4;0.29;11.4
8;David de Gea;ESP;GK;Manchester Utd;32-046;1990;14.0;20;1;1;3;0;16.3;0.27;-3.7;-0.27;49;176;27.8;352;50;33.5;33.1;81;71.6;51.8;213;8;3.8;12;0.86;14.2
9;Vicente Guaita;ESP;GK;Crystal Palace;35-347;1987;14.0;18;0;0;2;1;15.8;0.29;-1.2;-0.09;58;142;40.8;339;74;28.3;30.5;114;40.4;32.6;213;17;8.0;19;1.36;13.8
10;Dean Henderson;ENG;GK;Nottingham Forest;25-286;1997;15.0;30;2;1;5;0;25.9;0.27;-4.1;-0.27;85;278;30.6;449;93;45.4;38.0;136;54.4;43.4;247;15;6.1;22;1.47;15.4
11;Bernd Leno;GER;GK;Fulham;30-294;1992;13.0;24;3;0;4;0;24.6;0.29;+0.6;+0.04;54;151;35.8;382;77;31.7;31.1;88;34.1;33.7;167;14;8.4;19;1.46;15.1
12;Hugo Lloris;FRA;GK;Tottenham;35-362;1986;15.0;21;1;0;2;0;18.1;0.26;-2.9;-0.19;49;123;39.8;323;65;30.3;31.1;119;21.0;24.3;186;12;6.5;20;1.33;14.4
